UMLS,CUI
previous pregnancies 2,C0232997
primigravida,C0860096
abnormally hard consistency,C0702118
proteinemia,C1405524
pain neck,C0007859
dizzy spells,C0857087
shooting pain,C0278146
hyperemesis,C0235250
milky,C0443260
regurgitates after swallowing,C0232605
lip smacking,C0542073
phonophobia,C0751466
rolling of eyes,C0522336
ambidexterity,C0002416
pulsus paradoxus,C0232118
gravida 10,C1291692
bruit,C0006318
breath-holding spell,C0476287
scleral icterus,C0240962
retch,C0232602
blanch,C0948786
elation,C0233492
verbally abusive behavior,C0558089
transsexual,C0558141
behavior showing increased motor activity,C0474395
scar tissue,C0241158
coordination abnormal,C0520966
choke,C0008301
bowel sounds decreased,C0232695
no known drug allergies,C0262581
low back pain,C0024031
charleyhorse,C0277823
sedentary,C0205254
feels hot/feverish,C0424749
flare,C1517205
pericardial friction rub,C0232267
hoard,C0424337
panic,C0030318
cardiovascular finding,C0425560
soft tissue swelling,C0037580
rhd positive,C0427629
para 1,C0233070
nasal flaring,C0277873
sneeze,C0037383
hypertonicity,C0235396
Murphy's sign,C0277977
flatulence,C0016204
gasping for breath,C0425449
feces in rectum,C0474505
prodrome,C0240805
hypoproteinemia,C0020639
alcohol binge episode,C0556346
abdomen acute,C0000727
air fluid level,C0740844
catching breath,C0425491
large-for-dates fetus,C0456091
immobile,C0231441
homicidal thoughts,C0455204
sweating increased,C0700590
bedridden,C0741453
tired,C0557875
cushingoid habitus,C0878661
hypotonic,C0241938
underweight,C1319518
claudication,C1456822
adverse effect,C0879626
cardiovascular event,C1320716
history of - blackout,C0424533
