Disease_CUI,Disease
C0259756,herxheimer - reaction
C1258104,"sclerosis, progressive systemic"
C0030436,parakeratosis
C0087031,"Still disease, juvenile form"
C0175702,williams - beuren - syndrome
C0340164,loefgren syndrome
C0020305,hydrops fetalis
C0007194,obstructive cardiomyopathy
C0553720,sphaerocytosis
C0017920,glucose phosphatase deficiency 06
C0002895,sickle cell disease
C0002874,anemia aplastic
C0023443,hair cell leukemia
C0036920,sezary syndrome
C0085669,acute leukemia
C0002986,Fabry Syndrome
C0398650,immune thrombocytopenic purpura
C0014121,infectious endocarditis
C0035436,rheumatic fever
C0026269,mitral valve stenosis
C0026266,mitral regurgitation
C0026267,mitral valve prolapse
C0003507,aortic stenosis
C0003504,aortic regurgitation
C1956257,pulmonary stenosis
C0018817,atrial septal defect
C0018818,ventricular septal defect
C0013481,ebstein - anomaly
C0039685,fallot tetralogy
C0024796,marfan's syndrome
C0151595,digitalis intoxication
C0041234,chagas - disease
C0007177,heart bag tamponade
C0265144,chronic constrictive pericarditis
C0027051,Heart attack
C0024117,chronic obstructive pulmonary disease
C0032269,pneumococcal infections
C0026936,"mycoplasma infection, unspecified"
C1096584,chlamydia pneumoniae - infection
C0029291,ornithosis
C0034362,q - fever
C0003175,infection with bacillus anthracis
C0035235,respiratory syncytial virus infections
C0085740,mendelson's syndrome
C0037116,silicosis
C0007121,bronchial carcinoma
C0036202,sarcoid
C1321756,achalasia
C0014854,esophageal diverticulum
C0024623,gastric cancer
C0016470,food allergy
C0302858,protein loss syndrome
C0009324,ulcerative colitis
C0400821,microscopic colitis
C0022104,irritable bowel
C0001339,acute pancreatitis
C0149521,chronic pancreatitis
C0206695,"carcinoma, neuroendocrine"
C0021670,insulinoma
C0086768,verner morrison syndrome
C0019189,"hepatitis, chronic"
C0023896,alcoholic liver disease
C0162557,"liver failure, acute"
C3805004,post-infectious glomerulonephritis
C0451728,rapid - progressive nephritic syndrome
C3805154,renal osteopathy syndrome
C0027708,nephroblastoma
